data;igp-m
1989.06;3,09E-05
1989.07;4,19E-05
1989.08;5,74E-05
1989.09;8,03E-05
1989.10;0,000113001
1989.11;0,000158746
1989.12;0,000233566
1990.01;0,000377116
1990.02;0,000683656
1990.03;0,001257552
1990.04;0,001614069
1990.05;0,001709725
1990.06;0,00187962
1990.07;0,002105394
1990.08;0,002392147
1990.09;0,0026984
1990.10;0,003048369
1990.11;0,003562291
1990.12;0,004203477
1991.01;0,004947516
1991.02;0,005987394
1991.03;0,006537412
1991.04;0,007047761
1991.05;0,007575021
1991.06;0,008217406
1991.07;0,009303743
1991.08;0,0107227
1991.09;0,0123231
1991.10;0,0151122
1991.11;0,0189843
1991.12;0,0234711
1992.01;0,0290001
1992.02;0,0370788
1992.03;0,0450114
1992.04;0,0539861
1992.05;0,0650128
1992.06;0,0803615
1992.07;0,0979085
1992.08;0,122022
1992.09;0,152858
1992.10;0,193765
1992.11;0,239162
1992.12;0,299133
1993.01;0,376399
1993.02;0,483339
1993.03;0,610231
1993.04;0,786181
1993.05;1,01968
1993.06;1,34083
1993.07;1,75986
1993.08;2,31924
1993.09;3,13751
1993.10;4,2368
1993.11;5,76854
1993.12;7,97925
1994.01;11,0968
1994.02;15,6219
1994.03;22,7628
1994.04;32,0749
1994.05;45,7316
1994.06;66,4082
1994.07;92,9684
1994.08;100
1994.09;101,751
1994.10;103,602
1994.11;106,553
1994.12;107,45
1995.01;108,442
1995.02;109,945
1995.03;111,178
1995.04;113,518
1995.05;114,171
1995.06;116,984
1995.07;119,114
1995.08;121,729
1995.09;120,869
1995.10;121,503
1995.11;122,955
1995.12;123,833
1996.01;125,977
1996.02;127,202
1996.03;127,715
1996.04;128,13
1996.05;130,121
1996.06;131,445
1996.07;133,213
1996.08;133,587
1996.09;133,722
1996.10;133,978
1996.11;134,242
1996.12;135,225
1997.01;137,613
1997.02;138,204
1997.03;139,795
1997.04;140,742
1997.05;141,04
1997.06;142,09
1997.07;142,221
1997.08;142,353
1997.09;143,042
1997.10;143,567
1997.11;144,481
1997.12;145,695
1998.01;147,091
1998.02;147,356
1998.03;147,635
1998.04;147,821
1998.05;148,021
1998.06;148,588
1998.07;148,339
1998.08;148,109
1998.09;147,984
1998.10;148,1
1998.11;147,628
1998.12;148,291
1999.01;149,533
1999.02;154,933
1999.03;159,325
1999.04;160,459
1999.05;159,996
1999.06;160,573
1999.07;163,06
1999.08;165,603
1999.09;167,997
1999.10;170,861
1999.11;174,939
1999.12;178,099
2000.01;180,301
2000.02;180,935
2000.03;181,214
2000.04;181,635
2000.05;182,189
2000.06;183,745
2000.07;186,634
2000.08;191,087
2000.09;193,297
2000.10;194,04
2000.11;194,599
2000.12;195,827
2001.01;197,045
2001.02;197,491
2001.03;198,606
2001.04;200,591
2001.05;202,324
2001.06;204,31
2001.07;207,341
2001.08;210,211
2001.09;210,853
2001.10;213,339
2001.11;215,685
2001.12;216,163
2002.01;216,944
2002.02;217,074
2002.03;217,276
2002.04;218,486
2002.05;220,292
2002.06;223,688
2002.07;228,057
2002.08;233,348
2002.09;238,943
2002.10;248,199
2002.11;261,08
2002.12;270,867
2003.01;277,173
2003.02;283,506
2003.03;287,855
2003.04;290,512
2003.05;289,747
2003.06;286,843
2003.07;285,649
2003.08;286,735
2003.09;290,127
2003.10;291,229
2003.11;292,657
2003.12;294,455
2004.01;297,039
2004.02;299,097
2004.03;302,484
2004.04;306,151
2004.05;310,152
2004.06;314,419
2004.07;318,532
2004.08;322,412
2004.09;324,651
2004.10;325,925
2004.11;328,588
2004.12;331,005
2005.01;332,298
2005.02;333,288
2005.03;336,123
2005.04;339,03
2005.05;338,299
2005.06;336,801
2005.07;335,663
2005.08;333,474
2005.09;331,69
2005.10;333,694
2005.11;335,033
2005.12;335,006
2006.01;338,083
2006.02;338,128
2006.03;337,339
2006.04;335,921
2006.05;337,185
2006.06;339,712
2006.07;340,312
2006.08;341,574
2006.09;342,561
2006.10;344,155
2006.11;346,746
2006.12;347,842
2007.01;349,593
2007.02;350,524
2007.03;351,717
2007.04;351,869
2007.05;352,02
2007.06;352,936
2007.07;353,92
2007.08;357,404
2007.09;361,997
2007.10;365,794
2007.11;368,334
2007.12;374,815
2008.01;378,9
2008.02;380,906
2008.03;383,731
2008.04;386,38
2008.05;392,592
2008.06;400,382
2008.07;407,446
2008.08;406,127
2008.09;406,557
2008.10;410,524
2008.11;412,104
2008.12;411,575
2009.01;409,782
2009.02;410,849
2009.03;407,808
2009.04;407,181
2009.05;406,885
2009.06;406,486
2009.07;404,718
2009.08;403,253
2009.09;404,945
2009.10;405,129
2009.11;405,548
2009.12;404,499
2010.01;407,049
2010.02;411,843
2010.03;415,734
2010.04;418,917
2010.05;423,885
2010.06;427,489
2010.07;428,15
2010.08;431,445
2010.09;436,423
2010.10;440,829
2010.11;447,206
2010.12;450,301
2011.01;453,875
2011.02;458,397
2011.03;461,249
2011.04;463,311
2011.05;465,311
2011.06;464,463
2011.07;463,927
2011.08;465,968
2011.09;468,975
2011.10;471,466
2011.11;473,808
2011.12;473,252
2012.01;474,429
2012.02;474,138
2012.03;476,166
2012.04;480,229
2012.05;485,14
2012.06;488,342
2012.07;494,891
2012.08;501,957
2012.09;506,804
2012.10;506,926
2012.11;506,795
2012.12;510,252
2013.01;511,977
2013.02;513,467
2013.03;514,526
2013.04;515,276
2013.05;515,299
2013.06;519,153
2013.07;520,508
2013.08;521,27
2013.09;529,085
2013.10;533,621
2013.11;535,168
2013.12;538,37
2014.01;540,959
2014.02;543,038
2014.03;552,087
2014.04;556,42
2014.05;555,679
2014.06;551,554
2014.07;548,202
2014.08;546,745
2014.09;547,839
2014.10;549,396
2014.11;554,769
2014.12;558,213
2015.01;562,482
2015.02;564,004
2015.03;569,536
2015.04;576,175
2015.05;578,516
2015.06;582,401
2015.07;586,426
2015.08;588,042
2015.09;593,606
2015.10;604,832
2015.11;614,051
2015.12;617,044
2016.01;624,06
2016.02;632,114
2016.03;635,349
2016.04;637,434
2016.05;642,651
2016.06;653,496
2016.07;654,641
2016.08;655,602
2016.09;656,894
2016.10;657,927
2016.11;657,752
2016.12;661,304
2017.01;665,542
2017.02;666,099
2017.03;666,197
2017.04;658,898
2017.05;652,758
2017.06;648,409
2017.07;643,766
2017.08;644,383
2017.09;647,4
2017.10;648,672
2017.11;652,073
2017.12;657,859
2018.01;662,826
2018.02;663,311
2018.03;667,524
2018.04;671,327
2018.05;680,579
2018.06;693,287
2018.07;696,8
2018.08;701,677
2018.09;712,373
2018.10;718,684
2018.11;715,166
2018.12;707,441
2019.01;707,488
2019.02;713,747
2019.03;722,707
2019.04;729,346
2019.05;732,595
2019.06;738,421
2019.07;741,346
2019.08;736,402
2019.09;736,362
2019.10;741,333
2019.11;743,558
2019.12;759,112
2020.01;762,733
2020.02;762,423
2020.03;771,908
2020.04;778,101
2020.05;780,28
2020.06;792,429
2020.07;810,083
2020.08;832,313
2020.09;868,442
2020.10;896,505
2020.11;925,887
2020.12;934,758
2021.01;958,844
2021.02;983,063
2021.03;1011,948
2021.04;1027,211
2021.05;1069,289
2021.06;1075,733
2021.07;1084,095
2021.08;1091,29
2021.09;1084,312
2021.10;1091,283
2021.11;1091,483
2021.12;1100,988
2022.01;1120,999
2022.02;1141,546
2022.03;1161,418
2022.04;1177,809
2022.05;1183,953
2022.06;1190,882
2022.07;1193,337
2022.08;1185,004
2022.09;1173,793
2022.10;1162,391
2022.11;1155,829
2022.12;1161,006
2023.01;1163,465
2023.02;1162,761
2023.03;1163,359
2023.04;1152,307
2023.05;1131,058
2023.06;1109,23
2023.07;1101,204
2023.08;1099,71
2023.09;1103,74
2023.10;1109,236
2023.11;1115,815
2023.12;1124,072
2024.01;1124,879
2024.02;1119,061
2024.03;1113,837
2024.04;1117,28
2024.05;1127,233
2024.06;1136,409
2024.07;1143,313
2024.08;1146,575
2024.09;1153,718
2024.10;1171,272
2024.11;1186,462
2024.12;1197,562
2025.01;1200,775
2025.02;1213,514
2025.03;1209,432
2025.04;1212,296