Data,INPC - geral - índice (dez. 1993 = 100) - - - Instituto Brasileiro de Geografia e Estatística- Sistema Nacional de Índices de Preços ao Consumidor (IBGE/SNIPC) - PRECOS12_INPC12,
1979.03,5.5765E-09,
1979.04,5.7689E-09,
1979.05,5.8704E-09,
1979.06,6.0465E-09,
1979.07,6.3705E-09,
1979.08,6.739E-09,
1979.09,7.1843E-09,
1979.10,7.5481E-09,
1979.11,8.0089E-09,
1979.12,8.3698E-09,
1980.01,8.919E-09,
1980.02,9.289E-09,
1980.03,9.7649E-09,
1980.04,1.02385E-08,
1980.05,1.0805E-08,
1980.06,1.14018E-08,
1980.07,1.20305E-08,
1980.08,1.26497E-08,
1980.09,1.3213E-08,
1980.10,1.44874E-08,
1980.11,1.56502E-08,
1980.12,1.67147E-08,
1981.01,1.77526E-08,
1981.02,1.88272E-08,
1981.03,1.98351E-08,
1981.04,2.11322E-08,
1981.05,2.22972E-08,
1981.06,2.3428E-08,
1981.07,2.4881E-08,
1981.08,2.64048E-08,
1981.09,2.77978E-08,
1981.10,2.90825E-08,
1981.11,3.06041E-08,
1981.12,3.23447E-08,
1982.01,3.45162E-08,
1982.02,3.67858E-08,
1982.03,3.87129E-08,
1982.04,4.08994E-08,
1982.05,4.36251E-08,
1982.06,4.67411E-08,
1982.07,4.97287E-08,
1982.08,5.24972E-08,
1982.09,5.47568E-08,
1982.10,5.68955E-08,
1982.11,5.98882E-08,
1982.12,6.47902E-08,
1983.01,7.0715E-08,
1983.02,7.64006E-08,
1983.03,8.19173E-08,
1983.04,8.72955E-08,
1983.05,9.31523E-08,
1983.06,1.032437E-07,
1983.07,1.15043E-07,
1983.08,1.263712E-07,
1983.09,1.406165E-07,
1983.10,1.548139E-07,
1983.11,1.662278E-07,
1983.12,1.800977E-07,
1984.01,1.970107E-07,
1984.02,2.161933E-07,
1984.03,2.374517E-07,
1984.04,2.600678E-07,
1984.05,2.827142E-07,
1984.06,3.108773E-07,
1984.07,3.391915E-07,
1984.08,3.682615E-07,
1984.09,4.091458E-07,
1984.10,4.520706E-07,
1984.11,4.987488E-07,
1984.12,5.567124E-07,
1985.01,6.22611E-07,
1985.02,6.907768E-07,
1985.03,7.594716E-07,
1985.04,8.246648E-07,
1985.05,8.840643E-07,
1985.06,9.577468E-07,
1985.07,1.054252E-06,
1985.08,1.1766784E-06,
1985.09,1.2953765E-06,
1985.10,1.4281562E-06,
1985.11,1.6307138E-06,
1985.12,1.8875573E-06,
1986.01,2.170876E-06,
1986.02,2.4415742E-06,
1986.03,2.5190605E-06,
1986.04,2.5298925E-06,
1986.05,2.5570983E-06,
1986.06,2.5817851E-06,
1986.07,2.6052124E-06,
1986.08,2.6424945E-06,
1986.09,2.6739828E-06,
1986.10,2.7122725E-06,
1986.11,2.8014472E-06,
1986.12,3.0049873E-06,
1987.01,3.5103108E-06,
1987.02,3.9997643E-06,
1987.03,4.5756215E-06,
1987.04,5.5346279E-06,
1987.05,6.8153183E-06,
1987.06,8.2670529E-06,
1987.07,9.0880147E-06,
1987.08,9.5505142E-06,
1987.09,1.02334315E-05,
1987.10,1.13468563E-05,
1987.11,1.30409245E-05,
1987.12,1.48627091E-05,
1988.01,1.76820416E-05,
1988.02,2.0477695E-05,
1988.03,2.41822254E-05,
1988.04,2.86147643E-05,
1988.05,3.38340059E-05,
1988.06,4.13722945E-05,
1988.07,5.08961066E-05,
1988.08,6.13960547E-05,
1988.09,7.79299086E-05,
1988.10,9.87292876E-05,
1988.11,0.0001265215786,
1988.12,0.0001624917478,
1989.01,0.0002201437229,
1989.02,0.0002561373193,
1989.03,0.0002712494153,
1989.04,0.0002931120898,
1989.05,0.0003419738031,
1989.06,0.0004425140433,
1989.07,0.0005637629763,
1989.08,0.0007508195948,
1989.09,0.001023742422,
1989.10,0.0014205450891,
1989.11,0.0021090831794,
1989.12,0.003190620911,
1990.01,0.0053663052799,
1990.02,0.0093368346371,
1990.03,0.0170098454104,
1990.04,0.0195051897442,
1990.05,0.0209310190666,
1990.06,0.0233673896742,
1990.07,0.0263163543373,
1990.08,0.0295216863099,
1990.09,0.0337314788076,
1990.10,0.0385989312553,
1990.11,0.0451298705166,
1990.12,0.0537677278248,
1991.01,0.065032066804,
1991.02,0.0781675227116,
1991.03,0.0873833112608,
1991.04,0.0917600043057,
1991.05,0.0978895252777,
1991.06,0.1084925212048,
1991.07,0.1216656145218,
1991.08,0.1406671295351,
1991.09,0.1626419998971,
1991.10,0.1969243031581,
1991.11,0.2490682456026,
1991.12,0.3092182027201,
1992.01,0.3893697545885,
1992.02,0.4846891824762,
1992.03,0.5894771072339,
1992.04,0.7123256117679,
1992.05,0.8868449027414,
1992.06,1.0717521187308,
1992.07,1.308394642433,
1992.08,1.6012136881666,
1992.09,1.9851851628815,
1992.10,2.5027210502859,
1992.11,3.0755946831675,
1992.12,3.862329453472,
1993.01,4.9735202005622,
1993.02,6.206457213766,
1993.03,7.9181958432492,
1993.04,10.1645900046761,
1993.05,12.8866672541687,
1993.06,16.8003502644861,
1993.07,22.0101366146558,
1993.08,29.3483184707683,
1993.09,39.8051253226265,
1993.10,53.3866329234744,
1993.11,72.6058212060671,
1993.12,100,
1994.01,141.32,
1994.02,198.65,
1994.03,284.23,
1994.04,406.05,
1994.05,579.56,
1994.06,859.14,
1994.07,925.72,
1994.08,942.85,
1994.09,956.05,
1994.10,983.01,
1994.11,1012.11,
1994.12,1029.32,
1995.01,1044.14,
1995.02,1054.69,
1995.03,1071.78,
1995.04,1098.47,
1995.05,1121.54,
1995.06,1145.99,
1995.07,1174.18,
1995.08,1186.16,
1995.09,1200.04,
1995.10,1216.84,
1995.11,1235.21,
1995.12,1255.59,
1996.01,1273.92,
1996.02,1282.96,
1996.03,1286.68,
1996.04,1298.65,
1996.05,1315.27,
1996.06,1332.76,
1996.07,1348.75,
1996.08,1355.49,
1996.09,1355.76,
1996.10,1360.91,
1996.11,1365.54,
1996.12,1370.05,
1997.01,1381.15,
1997.02,1387.37,
1997.03,1396.8,
1997.04,1405.18,
1997.05,1406.73,
1997.06,1411.65,
1997.07,1414.19,
1997.08,1413.77,
1997.09,1415.18,
1997.10,1419.28,
1997.11,1421.41,
1997.12,1429.51,
1998.01,1441.66,
1998.02,1449.44,
1998.03,1456.54,
1998.04,1463.09,
1998.05,1473.62,
1998.06,1475.83,
1998.07,1471.7,
1998.08,1464.49,
1998.09,1459.95,
1998.10,1461.56,
1998.11,1458.93,
1998.12,1465.06,
1999.01,1474.58,
1999.02,1493.6,
1999.03,1512.72,
1999.04,1519.83,
1999.05,1520.59,
1999.06,1521.65,
1999.07,1532.91,
1999.08,1541.34,
1999.09,1547.35,
1999.10,1562.2,
1999.11,1576.88,
1999.12,1588.55,
2000.01,1598.24,
2000.02,1599.04,
2000.03,1601.12,
2000.04,1602.56,
2000.05,1601.76,
2000.06,1606.57,
2000.07,1628.9,
2000.08,1648.61,
2000.09,1655.7,
2000.10,1658.35,
2000.11,1663.16,
2000.12,1672.31,
2001.01,1685.19,
2001.02,1693.45,
2001.03,1701.58,
2001.04,1715.87,
2001.05,1725.65,
2001.06,1736,
2001.07,1755.27,
2001.08,1769.14,
2001.09,1776.92,
2001.10,1793.62,
2001.11,1816.76,
2001.12,1830.2,
2002.01,1849.78,
2002.02,1855.51,
2002.03,1867.01,
2002.04,1879.71,
2002.05,1881.4,
2002.06,1892.88,
2002.07,1914.65,
2002.08,1931.12,
2002.09,1947.15,
2002.10,1977.72,
2002.11,2044.76,
2002.12,2099.97,
2003.01,2151.84,
2003.02,2183.26,
2003.03,2213.17,
2003.04,2243.71,
2003.05,2265.92,
2003.06,2264.56,
2003.07,2265.47,
2003.08,2269.55,
2003.09,2288.16,
2003.10,2297.08,
2003.11,2305.58,
2003.12,2318.03,
2004.01,2337.27,
2004.02,2346.39,
2004.03,2359.76,
2004.04,2369.43,
2004.05,2378.91,
2004.06,2390.8,
2004.07,2408.25,
2004.08,2420.29,
2004.09,2424.4,
2004.10,2428.52,
2004.11,2439.21,
2004.12,2460.19,
2005.01,2474.21,
2005.02,2485.1,
2005.03,2503.24,
2005.04,2526.02,
2005.05,2543.7,
2005.06,2540.9,
2005.07,2541.66,
2005.08,2541.66,
2005.09,2545.47,
2005.10,2560.23,
2005.11,2574.05,
2005.12,2584.35,
2006.01,2594.17,
2006.02,2600.14,
2006.03,2607.16,
2006.04,2610.29,
2006.05,2613.68,
2006.06,2611.85,
2006.07,2614.72,
2006.08,2614.2,
2006.09,2618.38,
2006.10,2629.64,
2006.11,2640.68,
2006.12,2657.05,
2007.01,2670.07,
2007.02,2681.28,
2007.03,2693.08,
2007.04,2700.08,
2007.05,2707.1,
2007.06,2715.49,
2007.07,2724.18,
2007.08,2740.25,
2007.09,2747.1,
2007.10,2755.34,
2007.11,2767.19,
2007.12,2794.03,
2008.01,2813.31,
2008.02,2826.81,
2008.03,2841.23,
2008.04,2859.41,
2008.05,2886.86,
2008.06,2913.13,
2008.07,2930.03,
2008.08,2936.18,
2008.09,2940.58,
2008.10,2955.28,
2008.11,2966.51,
2008.12,2975.11,
2009.01,2994.15,
2009.02,3003.43,
2009.03,3009.44,
2009.04,3025.99,
2009.05,3044.15,
2009.06,3056.93,
2009.07,3063.96,
2009.08,3066.41,
2009.09,3071.32,
2009.10,3078.69,
2009.11,3090.08,
2009.12,3097.5,
2010.01,3124.76,
2010.02,3146.63,
2010.03,3168.97,
2010.04,3192.1,
2010.05,3205.83,
2010.06,3202.3,
2010.07,3200.06,
2010.08,3197.82,
2010.09,3215.09,
2010.10,3244.67,
2010.11,3278.09,
2010.12,3297.76,
2011.01,3328.76,
2011.02,3346.74,
2011.03,3368.83,
2011.04,3393.09,
2011.05,3412.43,
2011.06,3419.94,
2011.07,3419.94,
2011.08,3434.3,
2011.09,3449.76,
2011.10,3460.8,
2011.11,3480.52,
2011.12,3498.27,
2012.01,3516.11,
2012.02,3529.82,
2012.03,3536.17,
2012.04,3558.81,
2012.05,3578.38,
2012.06,3587.67,
2012.07,3603.1,
2012.08,3619.31,
2012.09,3642.12,
2012.10,3667.97,
2012.11,3687.78,
2012.12,3715.07,
2013.01,3749.25,
2013.02,3768.75,
2013.03,3791.36,
2013.04,3813.73,
2013.05,3827.08,
2013.06,3837.8,
2013.07,3832.81,
2013.08,3838.94,
2013.09,3849.31,
2013.10,3872.79,
2013.11,3893.7,
2013.12,3921.74,
2014.01,3946.44,
2014.02,3971.7,
2014.03,4004.27,
2014.04,4035.5,
2014.05,4059.71,
2014.06,4070.27,
2014.07,4075.56,
2014.08,4082.9,
2014.09,4102.9,
2014.10,4118.49,
2014.11,4140.32,
2014.12,4165.99,
2015.01,4227.64,
2015.02,4276.69,
2015.03,4341.26,
2015.04,4372.08,
2015.05,4415.37,
2015.06,4449.36,
2015.07,4475.17,
2015.08,4486.36,
2015.09,4509.24,
2015.10,4543.96,
2015.11,4594.4,
2015.12,4635.75,
2016.01,4705.75,
2016.02,4750.45,
2016.03,4771.36,
2016.04,4801.89,
2016.05,4848.95,
2016.06,4871.74,
2016.07,4902.92,
2016.08,4918.12,
2016.09,4922.05,
2016.10,4930.42,
2016.11,4933.87,
2016.12,4940.78,
2017.01,4961.53,
2017.02,4973.44,
2017.03,4989.36,
2017.04,4993.35,
2017.05,5011.33,
2017.06,4996.3,
2017.07,5004.79,
2017.08,5003.29,
2017.09,5002.29,
2017.10,5020.8,
2017.11,5029.84,
2017.12,5042.92,
2018.01,5054.52,
2018.02,5063.62,
2018.03,5067.16,
2018.04,5077.8,
2018.05,5099.63,
2018.06,5172.55,
2018.07,5185.48,
2018.08,5185.48,
2018.09,5201.04,
2018.10,5221.84,
2018.11,5208.79,
2018.12,5216.08,
2019.01,5234.86,
2019.02,5263.13,
2019.03,5303.66,
2019.04,5335.48,
2019.05,5343.48,
2019.06,5344.01,
2019.07,5349.35,
2019.08,5355.77,
2019.09,5353.09,
2019.10,5355.23,
2019.11,5384.15,
2019.12,5449.84,
2020.01,5460.19,
2020.02,5469.47,
2020.03,5479.32,
2020.04,5466.72,
2020.05,5453.05,
2020.06,5469.41,
2020.07,5493.48,
2020.08,5513.26,
2020.09,5561.23,
2020.10,5610.72,
2020.11,5664.02,
2020.12,5746.71,
2021.01,5762.23,
2021.02,5809.48,
2021.03,5859.44,
2021.04,5881.71,
2021.05,5938.17,
2021.06,5973.8,
2021.07,6034.73,
2021.08,6087.84,
2021.09,6160.89,
2021.10,6232.36,
2021.11,6284.71,
2021.12,6330.59,
2022.01,6373,
2022.02,6436.73,
2022.03,6546.8,
2022.04,6614.89,
2022.05,6644.66,
2022.06,6685.86,
2022.07,6645.74,
2022.08,6625.14,
2022.09,6603.94,
2022.10,6634.98,
2022.11,6660.19,
2022.12,6706.15,
2023.01,6737,
2023.02,6788.87,
2023.03,6832.32,
2023.04,6868.53,
2023.05,6893.26,
2023.06,6886.37,
2023.07,6880.17,
2023.08,6893.93,
2023.09,6901.51,
2023.10,6909.79,
2023.11,6916.7,
2023.12,6954.74,
2024.01,6994.38,
2024.02,7051.03,
2024.03,7064.43,
2024.04,7090.57,
2024.05,7123.19,
2024.06,7141,
2024.07,7159.57,
2024.08,7149.55,
2024.09,7183.87,
2024.10,7227.69,
2024.11,7251.54,
2024.12,7286.35,
2025.01,7286.35,
2025.02,7394.19,
2025.03,7431.9,
