Data,Taxa de juros - CDI / Over - acumulada no mês - (% a.m.) - Banco Central do Brasil- Boletim- Seção mercado financeiro e de capitais (Bacen/Boletim/M. Finan.) - BM12_TJCDI12,
1986.03,0.87,
1986.04,1.37,
1986.05,1.32,
1986.06,1.57,
1986.07,2.23,
1986.08,2.9,
1986.09,3.3,
1986.10,3.45,
1986.11,5.22,
1986.12,10.5,
1987.01,14.65,
1987.02,22.26,
1987.03,14,
1987.04,16.7,
1987.05,25.69,
1987.06,18.89,
1987.07,9.47,
1987.08,8.48,
1987.09,8.73,
1987.10,10.41,
1987.11,13.74,
1987.12,15.61,
1988.01,17.23,
1988.02,18.65,
1988.03,16.91,
1988.04,20.23,
1988.05,18.67,
1988.06,20.22,
1988.07,24.49,
1988.08,22.68,
1988.09,25.99,
1988.10,29.48,
1988.11,27.92,
1988.12,30.04,
1989.01,23.87,
1989.02,19.36,
1989.03,20.56,
1989.04,11.47,
1989.05,11.59,
1989.06,27.34,
1989.07,32.76,
1989.08,35.41,
1989.09,38.35,
1989.10,47.24,
1989.11,48.07,
1989.12,64.22,
1990.01,68.23,
1990.02,79.94,
1990.03,36.39,
1990.04,5.12,
1990.05,5.94,
1990.06,9.38,
1990.07,14.34,
1990.08,12.65,
1990.09,17.5,
1990.10,21.97,
1990.11,23.05,
1990.12,27.78,
1991.01,23.46,
1991.02,8.72,
1991.03,10.01,
1991.04,12.49,
1991.05,12.64,
1991.06,10.66,
1991.07,13.26,
1991.08,15.97,
1991.09,20.01,
1991.10,26.1,
1991.11,31.98,
1991.12,30.46,
1992.01,29.07,
1992.02,30.32,
1992.03,25.2,
1992.04,23.75,
1992.05,22.94,
1992.06,24.24,
1992.07,26.31,
1992.08,25.73,
1992.09,27.65,
1992.10,28.19,
1992.11,26.09,
1992.12,26.06,
1993.01,28.78,
1993.02,28.56,
1993.03,28.54,
1993.04,30.39,
1993.05,30.93,
1993.06,31.8,
1993.07,32.79,
1993.08,34.8,
1993.09,37.43,
1993.10,38.39,
1993.11,38.07,
1993.12,40.64,
1994.01,43.25,
1994.02,41.46,
1994.03,46.98,
1994.04,45.97,
1994.05,48.12,
1994.06,48.43,
1994.07,6.68,
1994.08,4.16,
1994.09,3.85,
1994.10,3.65,
1994.11,4.11,
1994.12,3.84,
1995.01,3.48,
1995.02,3.24,
1995.03,4.41,
1995.04,4.22,
1995.05,4.27,
1995.06,4.05,
1995.07,4.01,
1995.08,3.81,
1995.09,3.25,
1995.10,3.06,
1995.11,2.84,
1995.12,2.73,
1996.01,2.56,
1996.02,2.31,
1996.03,2.2,
1996.04,2.03,
1996.05,2,
1996.06,1.94,
1996.07,1.91,
1996.08,1.95,
1996.09,1.88,
1996.10,1.86,
1996.11,1.79,
1996.12,1.79,
1997.01,1.74,
1997.02,1.66,
1997.03,1.63,
1997.04,1.66,
1997.05,1.58,
1997.06,1.59,
1997.07,1.61,
1997.08,1.58,
1997.09,1.58,
1997.10,1.68,
1997.11,2.98,
1997.12,2.92,
1998.01,2.67,
1998.02,2.11,
1998.03,2.18,
1998.04,1.69,
1998.05,1.63,
1998.06,1.6,
1998.07,1.69,
1998.08,1.47,
1998.09,2.49,
1998.10,2.93,
1998.11,2.58,
1998.12,2.38,
1999.01,2.17,
1999.02,2.35,
1999.03,3.29,
1999.04,2.28,
1999.05,1.96,
1999.06,1.63,
1999.07,1.62,
1999.08,1.55,
1999.09,1.47,
1999.10,1.37,
1999.11,1.37,
1999.12,1.58,
2000.01,1.44,
2000.02,1.44,
2000.03,1.44,
2000.04,1.28,
2000.05,1.49,
2000.06,1.39,
2000.07,1.3,
2000.08,1.4,
2000.09,1.22,
2000.10,1.28,
2000.11,1.22,
2000.12,1.19,
2001.01,1.26,
2001.02,1.01,
2001.03,1.25,
2001.04,1.18,
2001.05,1.33,
2001.06,1.27,
2001.07,1.5,
2001.08,1.6,
2001.09,1.32,
2001.10,1.53,
2001.11,1.39,
2001.12,1.39,
2002.01,1.53,
2002.02,1.25,
2002.03,1.37,
2002.04,1.48,
2002.05,1.4,
2002.06,1.31,
2002.07,1.53,
2002.08,1.45,
2002.09,1.38,
2002.10,1.64,
2002.11,1.53,
2002.12,1.73,
2003.01,1.97,
2003.02,1.83,
2003.03,1.77,
2003.04,1.87,
2003.05,1.96,
2003.06,1.85,
2003.07,2.08,
2003.08,1.76,
2003.09,1.67,
2003.10,1.63,
2003.11,1.34,
2003.12,1.37,
2004.01,1.26,
2004.02,1.08,
2004.03,1.37,
2004.04,1.17,
2004.05,1.22,
2004.06,1.22,
2004.07,1.28,
2004.08,1.29,
2004.09,1.24,
2004.10,1.21,
2004.11,1.25,
2004.12,1.48,
2005.01,1.38,
2005.02,1.22,
2005.03,1.52,
2005.04,1.41,
2005.05,1.5,
2005.06,1.58,
2005.07,1.51,
2005.08,1.65,
2005.09,1.5,
2005.10,1.4,
2005.11,1.38,
2005.12,1.47,
2006.01,1.43,
2006.02,1.14,
2006.03,1.42,
2006.04,1.08,
2006.05,1.28,
2006.06,1.18,
2006.07,1.17,
2006.08,1.25,
2006.09,1.05,
2006.10,1.09,
2006.11,1.02,
2006.12,0.98,
2007.01,1.08,
2007.02,0.87,
2007.03,1.05,
2007.04,0.94,
2007.05,1.02,
2007.06,0.9,
2007.07,0.97,
2007.08,0.99,
2007.09,0.8,
2007.10,0.92,
2007.11,0.84,
2007.12,0.84,
2008.01,0.92,
2008.02,0.8,
2008.03,0.84,
2008.04,0.9,
2008.05,0.87,
2008.06,0.95,
2008.07,1.06,
2008.08,1.01,
2008.09,1.1,
2008.10,1.17,
2008.11,1,
2008.12,1.11,
2009.01,1.04,
2009.02,0.85,
2009.03,0.97,
2009.04,0.84,
2009.05,0.77,
2009.06,0.75,
2009.07,0.78,
2009.08,0.69,
2009.09,0.69,
2009.10,0.69,
2009.11,0.66,
2009.12,0.72,
2010.01,0.66,
2010.02,0.59,
2010.03,0.76,
2010.04,0.66,
2010.05,0.75,
2010.06,0.79,
2010.07,0.86,
2010.08,0.89,
2010.09,0.84,
2010.10,0.81,
2010.11,0.81,
2010.12,0.93,
2011.01,0.86,
2011.02,0.84,
2011.03,0.92,
2011.04,0.84,
2011.05,0.99,
2011.06,0.95,
2011.07,0.97,
2011.08,1.07,
2011.09,0.94,
2011.10,0.88,
2011.11,0.86,
2011.12,0.9,
2012.01,0.89,
2012.02,0.74,
2012.03,0.81,
2012.04,0.7,
2012.05,0.73,
2012.06,0.64,
2012.07,0.68,
2012.08,0.69,
2012.09,0.54,
2012.10,0.61,
2012.11,0.54,
2012.12,0.53,
2013.01,0.59,
2013.02,0.48,
2013.03,0.54,
2013.04,0.6,
2013.05,0.58,
2013.06,0.59,
2013.07,0.71,
2013.08,0.7,
2013.09,0.7,
2013.10,0.8,
2013.11,0.71,
2013.12,0.78,
2014.01,0.84,
2014.02,0.78,
2014.03,0.76,
2014.04,0.82,
2014.05,0.86,
2014.06,0.82,
2014.07,0.94,
2014.08,0.86,
2014.09,0.9,
2014.10,0.94,
2014.11,0.84,
2014.12,0.96,
2015.01,0.93,
2015.02,0.82,
2015.03,1.04,
2015.04,0.95,
2015.05,0.98,
2015.06,1.07,
2015.07,1.18,
2015.08,1.11,
2015.09,1.11,
2015.10,1.11,
2015.11,1.06,
2015.12,1.16,
2016.01,1.05,
2016.02,1,
2016.03,1.16,
2016.04,1.05,
2016.05,1.11,
2016.06,1.16,
2016.07,1.11,
2016.08,1.21,
2016.09,1.11,
2016.10,1.05,
2016.11,1.04,
2016.12,1.12,
2017.01,1.08,
2017.02,0.86,
2017.03,1.05,
2017.04,0.79,
2017.05,0.93,
2017.06,0.81,
2017.07,0.8,
2017.08,0.8,
2017.09,0.64,
2017.10,0.64,
2017.11,0.57,
2017.12,0.54,
2018.01,0.58,
2018.02,0.46,
2018.03,0.53,
2018.04,0.52,
2018.05,0.52,
2018.06,0.52,
2018.07,0.54,
2018.08,0.57,
2018.09,0.47,
2018.10,0.54,
2018.11,0.49,
2018.12,0.49,
2019.01,0.54,
2019.02,0.49,
2019.03,0.47,
2019.04,0.52,
2019.05,0.54,
2019.06,0.47,
2019.07,0.57,
2019.08,0.5,
2019.09,0.46,
2019.10,0.48,
2019.11,0.38,
2019.12,0.37,
2020.01,0.38,
2020.02,0.29,
2020.03,0.34,
2020.04,0.28,
2020.05,0.24,
2020.06,0.21,
2020.07,0.19,
2020.08,0.16,
2020.09,0.16,
2020.10,0.16,
2020.11,0.15,
2020.12,0.16,
2021.01,0.15,
2021.02,0.13,
2021.03,0.2,
2021.04,0.21,
2021.05,0.27,
2021.06,0.31,
2021.07,0.36,
2021.08,0.43,
2021.09,0.44,
2021.10,0.49,
2021.11,0.59,
2021.12,0.77,
2022.01,0.73,
2022.02,0.76,
2022.03,0.93,
2022.04,0.83,
2022.05,1.03,
2022.06,1.02,
2022.07,1.03,
2022.08,1.17,
2022.09,1.07,
2022.10,1.02,
2022.11,1.02,
2022.12,1.12,
2023.01,1.12,
2023.02,0.92,
2023.03,1.17,
2023.04,0.92,
2023.05,1.12,
2023.06,1.07,
2023.07,1.07,
2023.08,1.14,
2023.09,0.97,
2023.10,1,
2023.11,0.92,
2023.12,0.89,
2024.01,0.97,
2024.02,0.8,
2024.03,0.83,
2024.04,0.89,
2024.05,0.83,
2024.06,0.79,
2024.07,0.91,
2024.08,0.87,
2024.09,0.84,
2024.10,0.93,
2024.11,0.79,
2024.12,0.93,
2025.01,1.01,
2025.02,0.99,
2025.03,0.96,
2025.04,1.06,
2025.05,0.11,
